Trial Number,Chart Type,User Answer,Question Answered Correctly,Result,Time Taken (seconds),USA_2000,USA_2004,USA_2008,USA_2012,USA_2016,USA_2020,China_2000,China_2004,China_2008,China_2012,China_2016,China_2020,UK_2000,UK_2004,UK_2008,UK_2012,UK_2016,UK_2020,Russia_2000,Russia_2004,Russia_2008,Russia_2012,Russia_2016,Russia_2020
1,line,China,China,TRUE,4.552884102,27,4,31,1,13,83,4,91,59,67,7,49,47,65,61,14,55,71,80,2,94,19,98,63
2,area,Russia,Russia,TRUE,7.237234116,53,27,56,30,48,47,39,38,44,18,64,56,34,53,74,17,72,13,30,17,53,68,50,91
3,line,Russia,Russia,TRUE,8.578989744,91,83,53,78,0,13,57,76,3,70,3,84,79,10,87,60,3,48,52,43,36,5,71,38
4,area,Russia,Russia,TRUE,10.99664736,86,94,98,42,84,95,76,33,58,42,22,0,55,98,19,53,68,62,50,68,35,23,9,48
5,line,Russia,Russia,TRUE,2.400176048,21,25,54,6,37,58,39,94,51,30,66,24,55,17,45,89,45,35,16,12,86,82,67,92
6,area,UK,UK,TRUE,4.801769733,95,20,10,8,89,72,30,12,18,93,92,44,57,0,73,54,92,66,16,5,51,90,34,67
7,line,2,2,TRUE,9.367558956,94,78,54,77,84,1,14,33,20,40,24,93,58,28,82,82,7,94,2,63,2,87,17,90
8,area,6,1,FALSE,3.721970797,93,96,74,53,30,67,28,37,82,17,10,13,81,25,66,15,11,38,22,55,57,87,51,48
9,line,16,16,TRUE,4.887681484,53,17,65,42,93,44,16,51,54,55,83,42,61,37,80,99,2,62,99,81,16,70,53,98
10,area,34,34,TRUE,2.326577663,96,47,48,9,49,53,34,3,11,49,29,36,93,67,26,52,36,73,31,85,92,68,83,71
11,line,China,China,TRUE,3.91814208,61,93,36,42,13,48,82,32,38,40,53,93,14,38,86,37,0,59,41,44,19,76,66,13
12,area,China,China,TRUE,2.047263861,87,65,68,54,0,87,83,10,65,2,87,76,39,36,35,99,26,19,4,39,87,74,79,92
13,line,2008,2008,TRUE,2.427855968,52,44,13,33,15,17,88,23,59,8,40,77,47,45,25,31,10,38,80,87,84,60,17,15
14,area,2012,2012,TRUE,2.624782324,85,19,20,3,74,59,11,48,6,90,17,76,58,72,0,51,30,82,27,70,53,39,51,96
15,line,2,2,TRUE,5.681090832,45,39,88,50,46,60,80,69,80,34,81,86,16,47,3,76,89,5,66,64,45,59,9,13
16,area,0,0,TRUE,2.440555573,67,79,82,84,79,13,75,49,88,81,84,39,38,37,88,19,27,21,0,73,1,36,51,33
17,line,160,127,FALSE,2.234656334,96,86,26,86,92,6,94,3,28,35,31,19,52,41,78,50,46,71,49,50,77,58,76,99
18,area,32,160,FALSE,2.1836133,2,61,60,18,35,2,55,96,63,70,25,95,56,58,82,76,60,17,33,66,94,18,66,36
19,line,2,2,TRUE,3.44338131,7,62,1,85,77,57,30,92,16,81,96,20,35,82,23,42,99,7,77,47,18,43,87,92
20,area,0,0,TRUE,2.251300573,88,85,1,94,92,91,41,22,77,48,89,59,9,69,50,62,42,71,49,14,90,1,7,63
